SCATS Number,Location,NB_LATITUDE,NB_LONGITUDE,15 Minutes,Lane 1 Flow (Veh/15 Minutes)
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 16:15:00,118
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 16:30:00,117
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 16:45:00,152
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 17:00:00,126
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 17:15:00,149
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 17:30:00,160
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 17:45:00,150
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 18:00:00,146
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 18:15:00,151
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 18:30:00,154
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 18:45:00,141
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 19:00:00,106
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 19:15:00,135
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 19:30:00,100
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 19:45:00,108
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 20:00:00,65
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 20:15:00,74
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 20:30:00,64
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 20:45:00,88
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 21:00:00,59
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 21:15:00,53
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 21:30:00,81
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 21:45:00,96
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 22:00:00,60
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 22:15:00,67
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 22:30:00,72
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 22:45:00,56
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 23:00:00,81
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 23:15:00,71
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 23:30:00,28
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-02 23:45:00,44
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 00:00:00,33
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 00:15:00,23
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 00:30:00,14
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 00:45:00,33
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 01:00:00,23
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 01:15:00,8
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 01:30:00,15
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 01:45:00,13
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 02:00:00,5
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 02:15:00,7
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 02:30:00,7
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 02:45:00,31
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 03:00:00,7
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 03:15:00,7
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 03:30:00,7
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 03:45:00,15
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 04:00:00,6
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 04:15:00,9
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 04:30:00,3
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 04:45:00,5
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 05:00:00,16
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 05:15:00,13
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 05:30:00,13
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 05:45:00,28
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 06:00:00,22
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 06:15:00,20
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 06:30:00,36
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 06:45:00,30
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 07:00:00,59
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 07:15:00,52
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 07:30:00,60
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 07:45:00,84
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 08:00:00,73
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 08:15:00,106
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 08:30:00,89
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 08:45:00,95
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 09:00:00,90
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 09:15:00,103
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 09:30:00,85
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 09:45:00,117
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 10:00:00,73
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 10:15:00,66
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 10:30:00,107
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 10:45:00,69
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 11:00:00,70
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 11:15:00,89
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 11:30:00,102
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 11:45:00,71
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 12:00:00,85
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 12:15:00,69
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 12:30:00,72
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 12:45:00,94
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 13:00:00,116
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 13:15:00,103
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 13:30:00,115
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 13:45:00,72
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 14:00:00,91
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2006-10-03 14:15:00,83
